"predator","region","guild","stage","model_type","active_interactions","aic","bic","cfi","pvalue","sar_r2"
"x08_dfa_dc_corm_3_ws","NCC","08.predbirdncc","x16_sar","Full","int_1, int_2, int_3",119.971361373104,131.751899676583,0.860110565184361,0.0878160870167077,0.680337362285791
"x08_dfa_dc_corm_3_ws","NCC","08.predbirdncc","x16_sar","Pruned","int_1, int_2, int_3",119.971361373104,131.751899676583,0.860110565184361,0.0878160870167077,0.680337362285791
"x08_large_gulls_7_ws","NCC","08.predbirdncc_b_1","x16_sar","Full","int_1, int_2",122.379072834504,132.981557307636,0.957647673613438,0.277526613879809,0.567099594978061
"x08_large_gulls_7_ws","NCC","08.predbirdncc_b_1","x16_sar","Pruned","int_2",120.401242261872,129.825672904655,0.928135866351964,0.172116620847047,0.567351211324229
"x09_dfa_hakeage5plus","NCC","09.predfishncc_b","x16_sar","Full","int_1, int_2",120.634977155334,131.237461628465,0.965819601178333,0.230010457675804,0.576448702564369
"x09_dfa_hakeage5plus","NCC","09.predfishncc_b","x16_sar","Pruned","int_2",119.204355596212,128.628786238995,1,0.477187859616844,0.562793334881754
"x10_dfa_ssl.est.wholerange_2yrlead","NCC","10.predmammalncc","x16_sar","Full","int_1, int_2, int_3",119.364637974252,130.275062507835,0.58464281271247,0.00219506642421141,0.514098736351918
"x10_dfa_ssl.est.wholerange_2yrlead","NCC","10.predmammalncc","x16_sar","Pruned","int_2",115.688269178603,124.416608805469,0.717538303066312,0.0104699270520642,0.516747867293966
"x10_californian_s_l_2yrlead_ws","NCC","10.predmammalncc_0","x16_sar","Full","int_1, int_2",121.157425268208,130.976807348433,0.624599691633351,0.00761114658793194,0.433381403494668
"x10_californian_s_l_2yrlead_ws","NCC","10.predmammalncc_0","x16_sar","Pruned","None (Main Effect Only)",126.83281684175,135.079193654185,0.754012649040196,0.0184628517634383,0.362970709840142
"x10_harbour_s_2yrlead_ws","NCC","10.predmammalncc_2","x16_sar","Full","int_1, int_2",110.06419720792,119.883579288145,0.770144152824015,0.0157304517687872,0.636909827853775
"x10_harbour_s_2yrlead_ws","NCC","10.predmammalncc_2","x16_sar","Pruned","int_1",109.733714058372,118.462053685238,0.712331179383474,0.00309687895809985,0.606309382274787
"x10_northern_f_s_2yrlead_ws","NCC","10.predmammalncc_3","x16_sar","Full","int_1, int_2",118.46963756205,128.289019642275,0.669694474869909,0.00926454978308566,0.492477621430749
"x10_northern_f_s_2yrlead_ws","NCC","10.predmammalncc_3","x16_sar","Pruned","None (Main Effect Only)",126.115146454029,134.361523266465,0.832282239014089,0.0539093262388011,0.375577016254498
"x11_dfa_harbour_p_ws","NCC","11.predmammalsmolt","x16_sar","Full","int_1, int_2",122.55334099863,133.155825471761,0.897172423705716,0.145599729263726,0.555958729181037
"x11_dfa_harbour_p_ws","NCC","11.predmammalsmolt","x16_sar","Pruned","int_2",120.98730355381,130.411734196594,0.896729339002055,0.116540809754692,0.550672420565196
"x15_arrowtoothflounderbiomass_predak","AK","15.predfishak_0","x16_sar","Full","int_1, int_2, int_3",123.325404164899,135.105942468379,0.802809039893953,0.049360890223526,0.557429211018463
"x15_arrowtoothflounderbiomass_predak","AK","15.predfishak_0","x16_sar","Pruned","int_1, int_2, int_3",123.325404164899,135.105942468379,0.802809039893953,0.049360890223526,0.557429211018463
"x15_sablefishbiomass_predak","AK","15.predfishak_1","x16_sar","Full","int_1, int_2, int_3",112.157218589828,123.937756893307,1,0.583863948685461,0.742282164322102
"x15_sablefishbiomass_predak","AK","15.predfishak_1","x16_sar","Pruned","int_1",114.43243732851,123.856867971293,0.960327210563714,0.22974737019663,0.654133928512876
"x15_sablefishrecruitment_predak","AK","15.predfishak_2","x16_sar","Full","int_1, int_2, int_3",123.885834672362,135.666372975842,0.819826681955159,0.0662033484661322,0.593279688410563
"x15_sablefishrecruitment_predak","AK","15.predfishak_2","x16_sar","Pruned","int_2, int_3",123.57578930317,134.178273776301,0.767731718850345,0.0250376371604335,0.563234112405797
"x15_pacificcodbiomass_predak","AK","15.predfishak_3","x16_sar","Full","int_1, int_2, int_3",124.865571744892,136.646110048372,0.717375693131012,0.0144860352753162,0.543507954023357
"x15_pacificcodbiomass_predak","AK","15.predfishak_3","x16_sar","Pruned","int_1, int_2",122.989146623909,133.59163109704,0.706272907237624,0.00711038667451536,0.540804562943111
"x15_spinydogfishgoa_predak","AK","15.predfishak_4","x16_sar","Full","int_1, int_2, int_3",125.425142210555,137.205680514034,0.706094514932287,0.0128865719575346,0.560874491154416
"x15_spinydogfishgoa_predak","AK","15.predfishak_4","x16_sar","Pruned","int_1, int_2",123.433733181924,134.036217655056,0.711800845833796,0.00863972925275491,0.560292866386351
"x15_halibutbiomassage8plus_2yrlead_predak","AK","15.predfishak_5","x16_sar","Full","int_1, int_2",121.000472666843,131.602957139974,0.783203392041094,0.0239404649076517,0.599922872038949
"x15_halibutbiomassage8plus_2yrlead_predak","AK","15.predfishak_5","x16_sar","Pruned","int_1, int_2",121.000472666843,131.602957139974,0.783203392041094,0.0239404649076517,0.599922872038949
"x15_dfa_sleepersharks","AK","15.predfishak_b","x16_sar","Full","int_1, int_2",109.393967267475,119.996451740606,0.971394386066587,0.27593966364727,0.759088255841521
"x15_dfa_sleepersharks","AK","15.predfishak_b","x16_sar","Pruned","int_1, int_2",109.393967267475,119.996451740606,0.971394386066587,0.27593966364727,0.759088255841521
"x15_salmonsharkgoa_predak","AK","15.predfishak_b_2","x16_sar","Full","int_1, int_2",131.670785427691,142.273269900823,0.75485786553542,0.0602277944943345,0.331936967638705
"x15_salmonsharkgoa_predak","AK","15.predfishak_b_2","x16_sar","Pruned","None (Main Effect Only)",127.944566982442,136.190943794878,0.760236916037618,0.0243043595476399,0.326131639879744
"x11_ssl_seak_pup_pred","AK","11","x16_sar","Full","int_1, int_2, int_3",112.95683913185,124.73737743533,0.884203249309767,0.0869973708575982,0.726509521424088
"x11_ssl_seak_pup_pred","AK","11","x16_sar","Pruned","int_1, int_2",111.135337738821,121.737822211952,0.864832994050762,0.0470894601670704,0.724533440664838
